title;abstract
"Cooperate or not? Strategic analysis of platform interactions
considering market power and precision marketing";"In order to increase market share and enhance business competitiveness,
comprehensive retail platforms (CRPs), such as Taobao.com and JD.com,
are currently cooperating with social service platforms (SSPs), such as
TikTok and Meiyou. Therefore, more research attention needs to be paid
to such platform supply chains. To this end, this study develops
stylized models to explore the impacts of the market power of an SSP and
the precision marketing of a CRP on platform cooperation. Our major
research findings include the following. First, we investigate the
equilibrium strategy and find that if the CRP's commission rate is low
(high), cooperation becomes the equilibrium strategy when the SSP's
market power is low (high). Second, in most cases, market power will
affect the equilibrium strategy with a change in the commission rate.
However, in a certain range of commission rates, the equilibrium
strategy remains unchanged. That is, market power has an ``invalidation
effect{''} on the equilibrium strategy. Finally, we find that as the
commission rate increases, precision marketing reduces the willingness
of supply chain members to implement platform cooperation. However, when
the commission rate is low, precision marketing stimulates cooperation
between platforms. The study results provide guidelines for improving
the cooperation between CRPs and SSPs."
"Customer models for artificial intelligence-based decision support in
fashion online retail supply chains";"Fashion is a global, multi-trillion dollar industry devoted to producing
and selling clothing, footwear, and accessories to individuals or groups
of people. Its sheer numbers, together with social and environmental
sustainability concerns, and the move towards digitalization of
customer-centric operations, make the fashion business a prime target
for Decision Support Systems (DSSs). On the other hand, decision support
in fashion retail is particularly problematic and embraces all major
supply chain domains. Decisions in an online fashion retail supply chain
(FRSC) are highly dependent on time-varying customers' preferences and
product availability, often leading to a combinatorial explosion. To
address such a problem, DSSs could greatly benefit from high-quality
information stored in customer models (CMs), constructed by using
Artificial Intelligence techniques, allowing informed decisions on how
to personalize (adapt) to match the customer's needs and preferences.
Combinations of CMs with recommender systems (RSs) have been
increasingly utilized in fashion e-commerce to provide personalized
product recommendations. Nevertheless, works on enhancing CMs for
e-commerce or other decision-making chain domains are scanty. This paper
offers a systematic review of the literature on fashion CMs with
applications to decision-making in FRSCs, mining topics for a research
agenda. Research on the theme is relevant and urgent for the fashion
business, which is still in its infancy. Work on the agenda topics could
benefit distinct fashion stakeholders, not just customers, and produce
well-grounded decision-making in varied FRSC contexts and dynamics."
"Applying Internet information technology combined with deep learning to
tourism collaborative recommendation system";"Recently, more personalized travel methods have emerged in the tourism
industry, such as individual travel and self-guided travel. The service
models of traditional tourism limit the diversity of service options and
cannot fully meet the individual needs of tourists anymore. The aim is
to integrate sparse tourism information on the Internet, thereby
providing more convenient, faster, and more personalized tourism
services. Based on the shortcomings of the traditional tourism
recommendation system, a deep learning-based classification processing
method of tourism product information is proposed. This method uses word
embedding in the data preprocessing stage. The Convolutional Neural
Network (CNN) is used to process review information of users and tourism
service items. The Deep Neural Network (DNN) is used to process the
necessary information of users and tourism service items. Also,
factorization machine technology is used to learn the interaction
between the extracted features to improve the prediction model. The
results show that the proposed model can maintain an excellent precision
of 64.2\% when generating personalized recommendation lists for users.
The sensitivity and accuracy of the recommendation list are better than
other algorithms. By adding DNN, the word embedding method, and the
factorization machine model, the precision is improved by 30\%, 33.3\%,
and 40\%, respectively. The model accuracy is the highest with 40 hidden
factors, 100 convolutions, and a 100+50 combination hidden layer.
Compared with traditional methods, the proposed algorithm can provide
users with personalized travel products more accurately in personalized
travel recommendations. The results have enriched and developed the
theory of tourism service supply chain, providing a reference for
constructing a personalized tourism service system."
AwARE: a framework for adaptive recommendation of educational resources;"Recommender systems appeared in the early 90s to help users deal with
cognitive overload brought by the internet. From there to now, such
systems have assumed many other roles like help users to explore,
improve decision making, or even entertain. The system needs to look to
user characteristics to accomplish such new goals. These characteristics
help understand what the user task is and how to adapt the
recommendation to support such task. Related research has proposed
recommender systems in education. These recommender systems help
learners to find the educational resources most fit for their needs. In
this paper, we present an integration model between recommender and
adaptive hypermedia systems. It results in a new process for educational
resource recommendation, using a new algorithm of adaptive
recommendation. Through a prototype and an online experiment on the
educational scenario, we proved that AwARE could improve the
recommendation accuracy, interaction with the system, and user
satisfaction. Besides the prototype description, the paper presents a
protocol to evaluate the proposed approach by both the providers' and
consumers' point of view."
"Reducing retail supply chain costs of product returns using digital
product fitting";"Purpose - This paper investigate how fit uncertainty impacts product
return costs in online retailing and how digital product fitting, a
pre-sales fitting practice, can reduce fit uncertainty.
Design/methodology/approach - The paper analyzes the current performance
of a retailer's e-commerce and return operations by estimating costs
generated by product returns, including product handling costs, tied-up
capital, inventory holding costs, transportation costs, and
order-picking costs. The estimated costs were built on 2,229 return
transactions from a Scandinavian fashion footwear retailer. A digital
product fitting technology was tested with the retailer's products and
resulted in estimations on how such technology could affect product
returns.
Findings - The cost of a return is approximately 17\% of the prime cost.
The major cost elements are product handling costs and transportation
costs, which together amount to 72\% of the total costs. If well
calibrated, the fitting technology can cut fit-related return costs by
up to 80\%. The findings show how customers reacted to the fitting
technology: it was unable to verify fit every time, but it serves as a
useful and effective support tool for customers when placing orders.
Research limitations/implications - Virtual fit verification using
digital product fitting is key to retailers to reduce fit-related
returns. Digital product fitting using three-dimensional scanning is
more appropriate for some products, but it is unsuitable for products
that are difficult to measure and scan.
Originality/value - The paper contributes an empirical estimate of
retail supply chain costs associated with fit uncertainty, as well as
theoretical understanding of the role of pre-sales fit verification in
avoiding product returns."
"From product recommendation to cyber-attack prediction: generating
attack graphs and predicting future attacks";"Modern information society depends on reliable functionality of
information systems infrastructure, while at the same time the number of
cyber-attacks has been increasing over the years and damages have been
caused. Furthermore, graphs can be used to show paths than can be
exploited by attackers to intrude into systems and gain unauthorized
access through vulnerability exploitation. This paper presents a method
that builds attack graphs using data supplied from the maritime supply
chain infrastructure. The method delivers all possible paths that can be
exploited to gain access. Then, a recommendation system is utilized to
make predictions about future attack steps within the network. We show
that recommender systems can be used in cyber defense by predicting
attacks. The goal of this paper is to identify attack paths and show how
a recommendation method can be used to classify future cyber-attacks in
terms of risk management. The proposed method has been experimentally
evaluated and validated, with the results showing that it is both
practical and effective."
"A survey on blockchain-based Recommender Systems: Integration
architecture and taxonomy";"A Recommender System (RS) is an integral part of present-day leading web
services, such as YouTube, Amazon, Netflix, and many others. Modern RSs
are challenged to go beyond their traditional role of predicting user
preferences to efficiently provide reliable, carefully personalized, and
highly accurate recommendations. This paper thoroughly explores and
analyzes state-of-the-art literature surveys on RS to extract important
challenges and open issues. Our goal in this paper is to survey the
literature to extract essential features of RSs and Blockchain (BC),
focusing on their integration. Because of the lack of an existing
foundation of BC-based RSs, the intrinsic BC aspects in RSs are
identified and described. Integrating BC technology within RSs can
achieve many benefits such as transparency, decentralization, and
security. To that end, a thorough study of the papers on current
BC-based RSs is presented along with a synthesized comprehensive
taxonomy. Furthermore, a modular RS architecture, encompassing on-chain
and off-chain storage and computation processes, is designed. This paper
also includes a thorough discussion on the validity of the proposed
architecture, BC limitations concerning RSs, and the derivation of a
rich set of pointers to future research directions."
"Presenting a hybrid model in social networks recommendation system
architecture development";"There are many studies conducted on recommendation systems, most of
which are focused on recommending items to users and vice versa.
Nowadays, social networks are complicated due to carrying vast arrays of
data about individuals and organizations. In today's competitive
environment, companies face two significant problems: supplying
resources and attracting new customers. Even the concept of supply-chain
management in a virtual environment is changed. In this article, we
propose a new and innovative combination approach to recommend
organizational people in social networks based on organizational
communication and SCM. The proposed approach uses a hybrid strategy that
combines basic collaborative filtering and demographic recommendation
systems, using data mining, artificial neural networks, and fuzzy
techniques. The results of experiments and evaluations based on a real
dataset collected from the LinkedIn social network showed that the
hybrid recommendation system has higher accuracy and speed than other
essential methods, even substantially has eliminated the fundamental
problems with such systems, such as cold start, scalability, diversity,
and serendipity."
"Nudging a Slow-Moving High-Margin Product in a Supply Chain with
Constrained Capacity";"For a slow-moving high-margin product, we demonstrate the viability of
an information-based nudging strategy. The motivation to study this
problem was because a firm faced availability constraints for one of its
slow-moving high-margin products, but the available quantities still
exceeded the current demand. To identify customers to nudge, we develop
a support vector machine (SVM) approach to rank order the customers
based on their propensity to purchase the product. The underlying notion
in our approach is that Type I errors, to be defined in the paper, in
our classifier are not necessarily problematic but are potential nudging
targets. Also, as a consequence, traditional ways of evaluating
classifiers (with Type I and Type II errors) are not appropriate.
Therefore, we conduct a field experiment to evaluate how well the
identified customers are nudged through information and/or couponing. We
find that in terms of the successful nudges, our SVM-based approach
performed better than other approaches. The experiment also generated
insights about when couponing as opposed to information is more
effective when nudging."
Web-Based Recommendation System for Smart Tourism: Multiagent Technology;"The purpose of the study is to design and develop a recommended system
based on agent and web technologies, which utilizes a hybrid
recommendation filtering for the smart tourism industry. A hybrid
recommendation system based on agent technology is designed by
considering the online communication with other sectors in the tourism
industry, such as the tourism supply chain, agency etc. However, online
communication between the sectors via agents is designed and developed
based on the contract net protocol. Furthermore, the design system is
developed on the java agent development framework and implemented as a
web application. Case study-based results considering two scenarios
involving 100 customers illustrated that the proposed web application
improves the rate of the recommendation for the customers. In the first
scenario without disturbances, this rate was improved by 20\% and the
second scenario with disturbances yielded a 30\% rate of acceptable
recommendation. In addition, based on the second scenario, real time
data communication on the system occurred, thus the proposed system
supported real time data communication."
"A BERT-based recommender system for secure blockchain-based cyber
physical drug supply chain management";"Drug Supply Chain Management (DSCM) can be one of the most affected
streams in healthcare due to pandemics. The delivery of medicine to
patients through DSCM is a complex process. Also, DSCM has several
challenges, including counterfeiting, fraud, and the availability of
medicine. Therefore, there is a need for security and intelligence
strategies to remove pharmaceutical fraud, which remains a significant
challenge since ensuring fair and secure access to medicine, services,
and assistance is essential in Cyber-Physical Systems (CPS)-based DSCM.
The existing CPS-based DSCM systems do, however, have some limitations
in security, intelligence, planning, scheduling, quality, and logistics.
This paper proposes a secure drug supply chain management framework that
can acheive more security and intelligence via machine learning models.
The proposed framework utilizes Bidirectional Encoder Representations
from Transformers (BERT)-based and machine learning-based attack
detection modules to provide more intelligence and security in block
chain-based DSCM. Evaluation results show that BERT-based recommender
systems ideally suggest appropriate alternative drugs that are close to
99\% similar to the prescribed medication based on public datasets.
Moreover, attack detection in the proposed framework provides
significant accuracy, precision, recall, and F-measure results in threat
detection (phishing, scamming, and abnormal transactions) in the
blockchain layer:"
"Exploring recommendations for circular supply chain management through
interactive visualisation";"The new era of circular supply chain management (CSCM) produces a new
complex decision area for process managers. Part of it can be attributed
to green procurement, in which a large number of potential ideas need to
be reviewed that can sustain business. Such a large amount of data can
quickly lead to information overload, especially without the presence of
appropriate decision support tools. While there exists a range of
visualisation methods that can aid the exploration of recommendations,
there is a lack of studies that illustrate how these exploration
techniques can facilitate the identification of CSCM activities. This
paper showcases a study on how to ease the identification of new
sustainable business opportunities through visual data exploration.
Following the design science methodology, we have designed and evaluated
a recommender system prototype (the IS Identification App) that supports
sector-based identification of industrial symbiosis. The interactive
visualisation enhances users with more control over recommendations and
makes the recommendation process more transparent. Our case study
results indicate that the interactive visualisation technique is a
viable, fast and effective approach for exploring recommendations that
increase the sustainability of the supply chain."
"A Blockchain and Machine Learning-Based Drug Supply Chain Management and
Recommendation System for Smart Pharmaceutical Industry";"From the last decade, pharmaceutical companies are facing difficulties
in tracking their products during the supply chain process, allowing the
counterfeiters to add their fake medicines into the market. Counterfeit
drugs are analyzed as a very big challenge for the pharmaceutical
industry worldwide. As indicated by the statistics, yearly business loss
of around \$200 billion is reported by US pharmaceutical companies due
to these counterfeit drugs. These drugs may not help the patients to
recover the disease but have many other dangerous side effects.
According to the World Health Organization (WHO) survey report, in
under-developed countries every 10th drug use by the consumers is
counterfeit and has low quality. Hence, a system that can trace and
track drug delivery at every phase is needed to solve the counterfeiting
problem. The blockchain has the full potential to handle and track the
supply chain process very efficiently. In this paper, we have proposed
and implemented a novel blockchain and machine learning-based drug
supply chain management and recommendation system (DSCMR). Our proposed
system consists of two main modules: blockchain-based drug supply chain
management and machine learning-based drug recommendation system for
consumers. In the first module, the drug supply chain management system
is deployed using Hyperledger fabrics which is capable of continuously
monitor and track the drug delivery process in the smart pharmaceutical
industry. On the other hand, the N-gram, LightGBM models are used in the
machine learning module to recommend the top-rated or best medicines to
the customers of the pharmaceutical industry. These models have trained
on well known publicly available drug reviews dataset provided by the
UCI: an open-source machine learning repository. Moreover, the machine
learning module is integrated with this blockchain system with the help
of the REST API. Finally, we also perform several tests to check the
efficiency and usability of our proposed system."
"Recommender Systems in the Offline Retailing Domain: A Systematic
Literature Review";"Recommender systems have over the years proved to be effective in
overcoming the challenges related to the incredible growth of the
information on the Web, and nowadays they are evidently popular in a
variety of apparently disparate domains, e.g., e-commerce, tourism and
healthcare. Nonetheless, no Systematic Literature Review (SLR), and even
no literature survey, aimed at analyzing the current state of academic
and industrial research knowledge on recommender systems for the offline
retailing domain is reported in the literature. There is, therefore, a
need for conducting a SLR that allows revealing the trends and
challenges in the research and development of recommender systems for
that domain. In this chapter, we present the details about the planning,
execution and analysis of results of a SLR of the state of the art of
recommender systems for the offline retailing domain. The findings of
the analysis of results shed light, among other things, on the necessity
of further research on recommendation systems and algorithms for the
offline retailing domain, specially, for small local stores and chain
stores in the categories of department stores, drugstores and
convenience stores."
"Matching Consignees/Shippers Recommendation System in Courier Service
Using Data Analytics";"The purpose of this research was to create a Matching
Consignees/Shippers Recommendation System (MCSRS). We used the
association rule to identify product associations, the clustering
technique to group shippers and consignees according to behaviors when
receiving goods from similar shipper groups, and the decision tree to
identify possible matches between shippers and consignees. Finally,
Monte Carlo simulation was used to estimate potential revenue. The case
study is a courier company in Thailand. The results showed that garment
products and clothes were the products with the highest association.
Shippers and consignees of these products were segmented according to
recency, frequency, monetary factors, number of customers, number of
product items, weight, and day. Three rules are proposed that enabled
the assignment of 8 consignees to 56 shippers with an estimated increase
in revenue by 36\%. This approach helps decision-makers to develop an
effective cost-saving new marketing, inclusive strategy quickly."
"A Hybrid Recommendation System Based on the Supply Chain in Social
Networks";"With the expansion of virtual social networks, finding and recommending
appropriate and favorite information and items to users is one of the
severe issues in their development. To this end, recommender systems
predict and recommend interests based on past behavior reviews and user
preferences. However, less research has been done on people to people in
social networks, and it is still based on exploring communication and
friendship circles, which is generally not desirable for specialized
users. Social networks include a variety of entities such as
individuals, businesses, companies, and technical communications that
also contain a variety of information related to the supply chain
interaction, such as industries, functions, and communications between
them and users.
This paper provides a recommendation system framework for recommending
people to people in social networks based on supply chain interactions.
For this purpose, it has presented five hybrid methods based on
artificial neural networks and fuzzy strategies to provide better and
more accurate recommendations than basic methods. Eventually, a case
study was conducted on the LinkedIn social network to show the
improvements in applying this new approach to primary methods. In this
regard, seven specific evaluation criteria of recommender systems have
been used."
LORI: A Learning-to-Rank-Based Integration Method of Location Recommendation;Location recommendation method is an important application in a location-based social network. At present, it is a trend to integrate different recommendation methods since they have their own advantages in capturing different preferences of users and an integrated method can generally provide a better performance than every individual. However, the existing integration policies do not learn user preferences in their integration processes so that they cannot make full use of the advantage of each method. Therefore, we propose a novel integration method: learning-to-rank-based integration. In our method, a confidence coefficient is applied for each user in the integration process, and these coefficients can well optimize recommendation performance. A learning-to-rank-based algorithm is designed to train the confidence coefficients. A group of experiments are done on a real large-scale check-in data set, and the results demonstrate that our method outperforms the state-of-the-art ones.
Tackling Climate Change with Machine Learning;Climate change is one of the greatest challenges facing humanity, and we, as machine learning (ML) experts, may wonder how we can help. Here we describe how ML can be a powerful tool in reducing greenhouse gas emissions and helping society adapt to a changing climate. From smart grids to disaster management, we identify high impact problems where existing gaps can be filled by ML, in collaboration with other fields. Our recommendations encompass exciting research questions as well as promising business opportunities. We call on the ML community to join the global effort against climate change.
How to Approach Ambiguous Queries in Conversational Search: A Survey of Techniques, Approaches, Tools, and Challenges;The advent of recent Natural Language Processing technology has led human and machine interactions more toward conversation. In Conversational Search Systems (CSS) like chatbots and Virtual Personal Assistants such as Apple’s Siri, Amazon Alexa, Microsoft’s Cortana, and Google Assistant, both user and device have a limited platform to communicate through chatting or voice. In the information-seeking process, often users do not know how to properly describe their information need in a machine understandable language. Consequently, it is hard for the assistant agent to predict the user’s intent and yield relevant results by only relying on the original query. Studies have shown many unsatisfactory results can be enhanced with the benefit of CSS, which can dig deeper into the user’s query to reveal the real need. This survey intends to provide a comprehensive and comparative overview of ambiguous query clarification task in the context of conversational search technology. We investigate different approaches, their evaluation methods, and future work. We also address the importance of understanding a query for retrieving the most relevant document(s) and satisfying user’s need by predicting their potential request. This work provides an overview of characteristics of ambiguous queries and contributes to better understanding of the existing technologies and challenges in CSS focus on disambiguation of unclear queries from various dimensions.
Resource Management in Cloud and Cloud-Influenced Technologies for Internet of Things Applications;The trend of adopting Internet of Things (IoT) in healthcare, smart cities, Industry 4.0, and so on is increasing by means of cloud computing, which provides on-demand storage and computation facilities over the Internet. To meet specific requirements of IoT applications, the cloud has also shifted its service offering platform to its next-generation models, such as fog, mist, and dew computing. As a result, the cloud and IoT have become part and parcel of smart applications that play significant roles in improving the quality of human life. In addition to the inherent advantages of advanced cloud models, to improve the performance of IoT applications further, it is essential to understand how the resources in the cloud and cloud-influenced platforms are managed to support various phases in the end-to-end IoT deployment. Considering this importance, in this article, we provide a brief description, a systematic review, and possible research directions on every aspect of resource management tasks, such as workload modeling, resource provisioning, workload scheduling, resource allocation, load balancing, energy management, and resource heterogeneity in such advanced platforms, from a cloud perspective. The primary objective of this article is to help early researchers gain insight into the underlying concepts of resource management tasks in the cloud for IoT applications.
A Comprehensive Survey on Interoperability for IIoT: Taxonomy, Standards, and Future Directions;In the era of Industry 4.0, the Internet-of-Things (IoT) performs the driving position analogous to the initial industrial metamorphosis. IoT affords the potential to couple machine-to-machine intercommunication and real-time information-gathering within the industry domain. Hence, the enactment of IoT in the industry magnifies effective optimization, authority, and data-driven judgment. However, this field undergoes several interoperable issues, including large numbers of heterogeneous IoT gadgets, tools, software, sensing, and processing components, joining through the Internet, despite the deficiency of communication protocols and standards. Recently, various interoperable protocols, platforms, standards, and technologies are enhanced and altered according to the specifications of the applicability in industrial applications. However, there are no recent survey papers that primarily examine various interoperability issues that Industrial IoT (IIoT) faces. In this review, we investigate the conventional and recent developments of relevant state-of-the-art IIoT technologies, frameworks, and solutions for facilitating interoperability between different IIoT components. We also discuss several interoperable IIoT standards, protocols, and models for digitizing the industrial revolution. Finally, we conclude this survey with an inherent discussion of open challenges and directions for future research.
Blockchain-Empowered Federated Learning: Challenges, Solutions, and Future Directions;Federated learning is a privacy-preserving machine learning technique that trains models across multiple devices holding local data samples without exchanging them. There are many challenging issues in federated learning, such as coordinating participants’ activities, arbitrating their benefits, and aggregating models. Most existing solutions employ a centralized approach, in which a trustworthy central authority is needed for coordination. Such an approach incurs many disadvantages, including vulnerability to attacks, lack of credibility, and difficulty in calculating rewards. Recently, blockchain was identified as a potential solution for addressing the abovementioned issues. Extensive research has been conducted, and many approaches, methods, and techniques have been proposed. There is a need for a systematic survey to examine how blockchain can empower federated learning. Although there are many surveys on federated learning, few of them cover blockchain as an enabling technology. This work comprehensively surveys challenges, solutions, and future directions for blockchain-empowered federated learning (BlockFed). First, we identify the critical issues in federated learning and explain why blockchain provides a potential approach to addressing these issues. Second, we categorize existing system models into three classes: decoupled, coupled, and overlapped, according to how the federated learning and blockchain functions are integrated. Then we compare the advantages and disadvantages of these three system models, regard the disadvantages as challenging issues in BlockFed, and investigate corresponding solutions. Finally, we identify and discuss the future directions, including open problems in BlockFed.
Botnet Business Models, Takedown Attempts, and the Darkweb Market: A Survey;Botnets account for a substantial portion of cybercrime. Botmasters utilize darkweb marketplaces to promote and provide their services, which can vary from renting or buying a botnet (or parts of it) to hiring services (e.g., distributed denial of service attacks). At the same time, botnet takedown attempts have proven to be challenging, demanding a combination of technical and legal methods, and often requiring the collaboration of a plethora of entities with varying jurisdictions. In this article, we map the elements associated with the business aspect of botnets and utilize them to develop adaptations of two widely used business models. Furthermore, we analyze the 28 most notable botnet takedown operations carried out from 2008 to 2021, in regard to the methods employed, and illustrate the correlation between these methods and the segments of our adapted business models. Our analysis suggests that the botnet takedown methods have been mainly focused on the technical side, but not on the botnet economic components. We aim to shed light on new takedown vectors and incentivize takedown actors to expand their efforts to methods oriented more toward the business side of botnets, which could contribute toward eliminating some of the challenges that surround takedown operations.
Threats to Training: A Survey of Poisoning Attacks and Defenses on Machine Learning Systems;Machine learning (ML) has been universally adopted for automated decisions in a variety of fields, including recognition and classification applications, recommendation systems, natural language processing, and so on. However, in light of high expenses on training data and computing resources, recent years have witnessed a rapid increase in outsourced ML training, either partially or completely, which provides vulnerabilities for adversaries to exploit. A prime threat in training phase is called poisoning attack, where adversaries strive to subvert the behavior of machine learning systems by poisoning training data or other means of interference. Although a growing number of relevant studies have been proposed, the research among poisoning attack is still overly scattered, with each paper focusing on a particular task in a specific domain. In this survey, we summarize and categorize existing attack methods and corresponding defenses, as well as demonstrate compelling application scenarios, thus providing a unified framework to analyze poisoning attacks. Besides, we also discuss the main limitations of current works, along with the corresponding future directions to facilitate further researches. Our ultimate motivation is to provide a comprehensive and self-contained survey of this growing field of research and lay the foundation for a more standardized approach to reproducible studies.
Continuous Integration and Delivery Practices for Cyber-Physical Systems: An Interview-Based Study;Continuous Integration and Delivery (CI/CD) practices have shown several benefits for software development and operations, such as faster release cycles and early discovery of defects. For Cyber-Physical System (CPS) development, CI/CD can help achieving required goals, such as high dependability, yet it may be challenging to apply. This article empirically investigates challenges, barriers, and their mitigation occurring when applying CI/CD practices to develop CPSs in 10 organizations working in eight different domains. The study has been conducted through semi-structured interviews, by applying an open card sorting procedure together with a member-checking survey within the same organizations, and by validating the results through a further survey involving 55 professional developers. The study reveals several peculiarities in the application of CI/CD to CPSs. These include the need for (i) combining continuous and periodic builds while balancing the use of Hardware-in-the-Loop and simulators, (ii) coping with difficulties in software deployment (iii) accounting for simulators and Hardware-in-the-Loop differing in their behavior, and (vi) combining hardware/software expertise in the development team. Our findings open the road toward recommenders aimed at supporting the setting and evolution of CI/CD pipelines, as well as university curricula requiring interdisciplinarity, such as knowledge about hardware, software, and their interplay.
Are We Forgetting about Compositional Optimisers in Bayesian Optimisation?;Bayesian optimisation presents a sample-efficient methodology for global optimisation. Within this framework, a crucial performance-determining subroutine is the maximisation of the acquisition function, a task complicated by the fact that acquisition functions tend to be non-convex and thus nontrivial to optimise. In this paper, we undertake a comprehensive empirical study of approaches to maximise the acquisition function. Additionally, by deriving novel, yet mathematically equivalent, compositional forms for popular acquisition functions, we recast the maximisation task as a compositional optimisation problem, allowing us to benefit from the extensive literature in this field. We highlight the empirical advantages of the compositional approach to acquisition function maximisation across 3958 individual experiments comprising synthetic optimisation tasks as well as tasks from Bayesmark. Given the generality of the acquisition function maximisation subroutine, we posit that the adoption of compositional optimisers has the potential to yield performance improvements across all domains in which Bayesian optimisation is currently being applied.
"Advertising or recommender systems? A game-theoretic analysis of online
retailer platforms' decision-making";"Advertising and recommender systems are two germane demand creation
tools to expand the market. We examine the model comprising two
manufacturers and one online retailer to study the efficacy of
advertising investment based on recommender systems with and without
considering cost sharing. Based on game-theoretic models and numerical
analysis in three scenarios, some managerial insights are suggested for
online retailers to be the best beneficiary and avoid ``free riders.{''}
For the whole supply chain, advertising has a better effect than
recommender systems when their coefficients are small. Otherwise,
leveraging recommender systems is a predominant strategy for the whole
supply chain."
GeoAI – Accelerating a Virtuous Cycle between AI and Geo;"Geospatial artificial intelligence (GeoAI) is the amalgamation of
artificial intelligence (AI) with spatial computing to develop a bet-
ter understanding of the physical world around us at the levels
of an individual, communities, cities, nations, and the planet us-
ing geospatial data. The current applications of GeoAI vary from
solving challenges in the fields of sustainable development, urban
planning, supply chains, and navigation to defense, epidemiology,
insurance, and the emerging on-demand economy. It is a highly
interdisciplinary field that uses ideas from computing, geography,
spatial data science, statistics, and engineering. The unique features
of geospatial data like autocorrelation, geometric nature, and mul-
tiple modalities requires the AI algorithms to be developed in a
fundamentally different way, which also expands the capabilities
of AI in general. Considering the exponential increasing geospa-
tial data and application, this confluence of AI and geospatial will
become a virtuous cycle of growth for both AI and Geo."
Who's in Charge Here? Scheduling EV Charging on Dynamic Grids via Online Auctions with Soft Deadlines;"The electrification of transport is a crucial step towards decarbonizing energy use and meeting climate goals. However, the increased penetration of electric vehicles also drives substantial additional load on the electricity grid; failure to manage this load can result in higher costs and reduced reliability of electricity. In this study, we present a novel online, auction-based technique to manage the charging of electric vehicles. Our technique draws insight from the cloud computing literature, making use of the concept of soft deadlines to ensure high satisfaction among users, reduced costs for charging infrastructure providers, and maximum flexibility for the electricity system. We evaluate our technique with a range of dynamics possible on typical electricity grids, including variable electricity tariffs and deployment of solar photovoltaic generation. Additionally, we consider vehicle-to-vehicle charging, an emerging paradigm for peer-to-peer energy transfer. Compared to uncontrolled charging and two typically deployed algorithms, our results show improved cost and performance in every scenario, with a reduction in costs of 3.5% to 12% compared to the baseline controlled approaches."
Designing and Evaluating Interfaces That Highlight News Coverage Diversity Using Discord Questions;Modern news aggregators do the hard work of organizing a large news stream, creating collections for a given news story with tens of source options. This paper shows that navigating large source collections for a news story can be challenging without further guidance. In this work, we design three interfaces – the Annotated Article, the Recomposed Article, and the Question Grid – aimed at accompanying news readers in discovering coverage diversity while they read. A first usability study with 10 journalism experts confirms the designed interfaces all reveal coverage diversity and determine each interface’s potential use cases and audiences. In a second usability study, we developed and implemented a reading exercise with 95 novice news readers to measure exposure to coverage diversity. Results show that Annotated Article users are able to answer questions 34% more completely than with two existing interfaces while finding the interface equally easy to use.
Building Blocks for IoT Testing: A Benchmark of IoT Apps and a Functional Testing Framework;IoT security is a topic that offers numerous opportunities for improvement and development. In this paper, we first present a set of open-source mock IoT applications along with the necessary infrastructure specifically designed to emulate a real IoT system. With our app set, users can add their own applications, automation rules, and communication flows with little technical effort, and test different scenarios to reproduce bugs that are not specific to the use of a single device. Second, we describe a functional testing framework for the IoT that is inspired by behavior-driven development (BDD), a testing methodology that serves as a proof-of-concept for how the application set can be used in different test scenarios. The application set and the functional testing framework are independent of each other. Our goal is to help IoT developers and testers find new testing techniques and benchmarking them in a reproducible, comparable, and less biased environment. We believe that they form the basis for a better understanding of how to test systems composed of heterogeneous devices to find issues and vulnerabilities that arise mainly from their interaction and data persistence management.
On Indirectly Dependent Documentation in the Context of Code Evolution: A Study;A software system evolves over time due to factors such as bug-fixes, enhancements, optimizations and deprecation. As entities interact in a software repository, the alterations made at one point may require the changes to be reflected at various other points to maintain consistency. However, often less attention is given to making appropriate changes to the documentation associated with the functions. Inconsistent documentation is undesirable, since documentation serves as a useful source of information about the functionality. This paper presents a study on the prevalence of function documentations that are indirectly or implicitly dependent on entities other than the associated function. We observe a substantial presence of such documentations, with 62% of the studied Javadoc comments being dependent on other entities, as studied in 11 open-source repositories implemented in Java. We comprehensively analyze the nature of documentation updates made in 1288 commit logs and study patterns to reason about the cause of dependency in the documentation. Our findings from the observed patterns may be applied to suggest documentations that should be updated on making a change in the repository.
"An intelligent method for supply chain finance selection using supplier
segmentation: A payment risk portfolio approach";"The COVID-19 pandemic-driven financial crisis grew significant interest
among firms to adopt supply chain finance (SCF) to optimize working
capital for the financial stability of the supply chain. However, it is
impractical for firms with a diverse and extensive supplier base to
strategize the SCF solutions for individual suppliers by assessing their
financial risk. Hence, this study conceptualizes an intelligent method
to demonstrate how supplier segmentation based on suppliers' payment
risk portfolios helps supply chain practitioners to assess suppliers'
financial risk and strategize manageable supply chain finance solutions
for them. This method employs a stochastic optimization model to compute
suppliers' optimum payment risk portfolios and generate a supplier
segmentation matrix to offer supply chain practitioners the cognitive
ability to select appropriate SCF solutions for their suppliers. The
proposed method can be implemented into an AI-driven explainable
recommendation system to aid supply chain practitioners in applying
smart strategic thinking in supply chain finance decision-making."
